账号,备注,平台,标题,类型,推荐,阅读（播放）,评论,分享,收藏,点赞,发布时间,链接
春节美好（新赛道）,	,抖音,"#跨年 #美女",视频,--,1316,1,0,3,24,2025-12-26 20:34:00,https://www.iesdouyin.com/share/video/7588097647169722575/?region=&mid=7588097624647469843&u_code=37kgh6783db6&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=IL6tyjOOBeJz1726IfEOd0DXGmNWkK31OZOvx1Dc8kk-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新春祝福（四个八传媒宠粉号）,	,抖音,"#美女老板 #日常跳舞记录",视频,--,203,1,4,2,10,2025-12-26 19:54:00,https://www.iesdouyin.com/share/video/7588087317828298121/?region=&mid=7588087297771932454&u_code=4452eeg1igb8&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=izvLuPdv5WtRS72zrdJGCrsoP1rONwv4to1a2jKrDGI-&share_version=280000&ts=1766996247&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新春祝福（四个八传媒宠粉号）,	,抖音,"#跨年#美女",视频,--,470,1,0,4,17,2025-12-26 18:52:00,https://www.iesdouyin.com/share/video/7588087026340644570/?region=&mid=7588086976809634579&u_code=4452eeg1igb8&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=ESQPFjLslWmoOKh2ZabsdVLeGZ6rI8Urk9WkTzDa4YM-&share_version=280000&ts=1766996247&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新春祝福（四个八传媒宠粉号）,	,抖音,"#跳舞#美女老板的日常",视频,--,949,1,7,7,57,2025-12-26 18:51:00,https://www.iesdouyin.com/share/video/7588086674526963955/?region=&mid=7588086669870517038&u_code=4452eeg1igb8&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=HBvmZUX98xLsvjW9Uk7JMn.dXMbpGmEdE5h1EcItcw0-&share_version=280000&ts=1766996247&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新年美好（牧民马舍）,	,抖音,"#美女老板的日常 #跨年#美女",视频,--,1481,2,0,1,25,2025-12-26 17:48:14,https://www.iesdouyin.com/share/video/7588101220025149812/?region=&mid=7588101179952286515&u_code=80e758lg0ji&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=UKVrs2bzLnkF27aj3KW.e6zT9TtWHfYek9yhA1P65k8-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新年美好（牧民马舍）,	,抖音,"#美女老板 #跨年#工作日常",视频,--,499,0,0,3,10,2025-12-26 17:42:57,https://www.iesdouyin.com/share/video/7588099863523409359/?region=&mid=7588099855500151595&u_code=80e758lg0ji&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=eKTR8IUNo8lKL_78r2rvsYJ4tjCI1sX_TSx7Ipkibhw-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
小酥在呼市,	,小红书,"跨年好物",视频,--,20,0,0,0,1,2025-12-26 17:21:00,https://www.xiaohongshu.com/explore/694e538a000000001e008b9f?xsec_token=YBs6UfOHDU-dg7eUogooi9BiXAANL_Nql4FYw3tkJDcj0=&xsec_source=pc_creatormng
小酥在呼市,	,小红书,"跨年好物",视频,--,8,0,0,0,0,2025-12-26 17:21:00,https://www.xiaohongshu.com/explore/694e53a0000000001e004227?xsec_token=YBs6UfOHDU-dg7eUogooi9Bv38kPOLCY5FvgFuYZ_eMxA=&xsec_source=pc_creatormng
小酥在呼市,	,小红书,"跨年好物",视频,--,36,0,0,0,1,2025-12-26 17:21:00,https://www.xiaohongshu.com/explore/694e53b4000000001e012b50?xsec_token=YBs6UfOHDU-dg7eUogooi9Br1j4s1Ze8Euqt7lILFax4U=&xsec_source=pc_creatormng
小酥在呼市,	,小红书,"跨年好物",视频,--,7,0,0,0,0,2025-12-26 17:20:00,https://www.xiaohongshu.com/explore/694e5376000000001e015489?xsec_token=YBs6UfOHDU-dg7eUogooi9BtFxTuDtvlukqFTQrQvXQgQ=&xsec_source=pc_creatormng
酥酥??,	,快手,"#跨年好物",视频,--,31,0,0,--,1,2025-12-26 17:17:03,https://video.kuaishou.com/short-video/3x2csi2mge9np7i
酥酥??,	,快手,"#跨年好物 ",视频,--,50,0,0,--,2,2025-12-26 17:15:42,https://video.kuaishou.com/short-video/3xmp5axwx2fxrfw
酥酥??,	,快手,"#跨年好物",视频,--,111,0,0,--,0,2025-12-26 17:15:06,https://video.kuaishou.com/short-video/3xfb6yn9evbeaqm
酥酥??,	,快手,"#跨年好物",视频,--,37,0,0,--,0,2025-12-26 17:14:33,https://video.kuaishou.com/short-video/3x35ubg8f7u7yhc
酥酥在呼市,	,抖音,"#跨年好物",视频,--,9,0,0,0,1,2025-12-26 17:11:30,https://www.iesdouyin.com/share/video/7588091750959292089/?region=&mid=7588091721729231654&u_code=1f10636e6hhm&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=o1XHKuMBsJEZXqv7LIo.4FYhnrI1Wmnp5zZV7WyeoRE-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
呼市小王在搬砖,	,快手,"#跨年好物 #跨年",视频,--,38,0,0,--,0,2025-12-26 17:09:30,https://video.kuaishou.com/short-video/3xjffrbivykq8jq
乐乐在呼市,	,快手,"#跨年 #美女老板 #黑丝 ",视频,--,3059,3,0,--,4,2025-12-26 17:08:06,https://video.kuaishou.com/short-video/3x9qgb5ybkyy6du
乐乐在呼市,	,快手,"#跨年 #美女老板 #舞蹈 ",视频,--,2982,0,0,--,6,2025-12-26 17:06:39,https://video.kuaishou.com/short-video/3xxkzv5fiz8amkm
乐乐在呼市,	,快手," #好冷哦 #美女老板 #跨年 ",视频,--,2989,1,0,--,13,2025-12-26 17:03:38,https://video.kuaishou.com/short-video/3xcwuih58fjqu6w
乐乐在呼市,	,快手," #跨年 #美女老板 ",视频,--,3073,1,0,--,6,2025-12-26 17:01:11,https://video.kuaishou.com/short-video/3xjz7rji2mgh3h9
呼市小王在搬砖,	,快手,"#跨年好物 #跨年",视频,--,41,0,0,--,0,2025-12-26 16:56:57,https://video.kuaishou.com/short-video/3xtnbntdbvpzxki
呼市小王在搬砖,	,快手,"#跨年好物 #跨年",视频,--,1,0,0,--,0,2025-12-26 16:56:08,https://video.kuaishou.com/short-video/3xzdvjqqbsm9piy
呼市小王在搬砖,	,快手,"#跨年好物 #跨年",视频,--,1,0,0,--,0,2025-12-26 16:55:33,https://video.kuaishou.com/short-video/3xc2cv6emvmyery
呼市小王在搬砖,	,快手,"#跨年好物 #跨年",视频,--,31,0,0,--,0,2025-12-26 16:55:06,https://video.kuaishou.com/short-video/3x44b7sbdaks9iw
呼市小王在搬砖,	,快手,"#跨年好物 #跨年",视频,--,51,0,0,--,0,2025-12-26 16:55:02,https://video.kuaishou.com/short-video/3x9zcsvhkrx4mge
用户9913044883337,	,抖音,"#跨年#老板跳舞妖娆起来也真是无敌了 #美女",视频,--,1994,4,11,14,58,2025-12-26 16:50:00,https://www.iesdouyin.com/share/video/7588055566011849114/?region=&mid=7588055558104599323&u_code=4ba3dkj2blm5&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=Eu.5AFakEVtwGAkPG_kf94.MZM5mqKgTugjIRlRvfsc-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新春祝福（四个八传媒宠粉号）,	,抖音,"#美女老板#跨年",视频,--,2089,9,11,11,58,2025-12-26 16:49:23,https://www.iesdouyin.com/share/video/7588086054151639514/?region=&mid=7588086043312671534&u_code=4452eeg1igb8&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=5SawTz_ax0MFEm2Jhfy.00ObnGfDOe47nbJ5pHcsE98-&share_version=280000&ts=1766996247&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
乐乐在呼市,	,微信视频号,"#美女老板娘#跨年",视频,--,3280,5,1,18,9,2025-12-26 15:57:11,https://finder.video.qq.com/251/20302/stodownload?encfilekey=Cvvj5Ix3eez3Y79SxtvVL0L7CkPM6dFibFeI6caGYwFHsKfBzgzX0MPCYfbmuT90XMSLUySPhYOf5jGZ7FWduWuBWsrESq7PjprrZpWu6bNTXW7437a5MGn2Ye9ibYH7Z9QWYgDicea4y2kLG5jYycAnA&token=2lt8WBSnjTl4wXMTO6gtFdfU2ycrnf2XvFmjHRHFctP83xYzx4EUfURebYFI5qKcuOEibaHqpKhI9WkLmM0KyqJUrrjJ7k84icEUPdvYORVwiapJal8ugWdSz56wPyvgRWOUh3BaPn2lXujW1Cib8j502CiaKic14dXtuX1euZzFJbGOk&idx=1&hy=SH&m=4858e480c210eac8aa05ea6f6fc0f3c2&uzid=7a1fc&web=1
乐乐在呼市,	,微信视频号,"#跨年#美女老板娘",视频,--,834,1,2,7,1,2025-12-26 15:56:21,https://finder.video.qq.com/251/20302/stodownload?encfilekey=Cvvj5Ix3eez3Y79SxtvVL0L7CkPM6dFibFeI6caGYwFHYkoWtK8fEaWcRpEiccGqkYoYUf54iceKiabmQBYia8UB7w7gNWB9zRukibm36IQRXc7Q53fhPtvamydpP7yEONtNb3XQGN8Wc2xAmKKDsvplaAJw&token=2lt8WBSnjTl4wXMTO6gtFcjia6KbFic4GXHwrIW1FycZN2YLDmcxUo5IkVAofB8Ehdz4XmW0mzrm7H3ydUZq54dNMjHWQ61IY6gjahKY1s4bgnLhT2br7Pm3lEYcl1ia74JriafMmICbDq33tTxvUicUqHZYglCdVCZ14W1joknqjJoE&idx=1&hy=SH&m=60a7b6baa43fff0e005f11a1529808dc&uzid=7a170&web=1
乐乐在呼市,	,微信视频号,"#跨年#美女老板娘#跳舞",视频,--,1714,0,23,12,2,2025-12-26 15:54:52,https://finder.video.qq.com/251/20302/stodownload?encfilekey=Cvvj5Ix3eez3Y79SxtvVL0L7CkPM6dFibFeI6caGYwFFyXY0ghO4DMKMukEXnvplXU7NopMxicTh32ib2Omf2FTsCKvbmra4Bmq7QWbkr5C3S6WT319MupyXKEOUK8ThYuzxkqN04LELRhib1ib08pQ9dwg&token=2lt8WBSnjTl4wXMTO6gtFc453zHKiavs3m782FGwWoCfTXh9jmWKxoDrP1XLdUEV8dpCxNibdU9HLuXIlQc1YfA6BFeUFD4lA5sA8DNd4TEKWysn1RLsWsaTkzryLKcTicDas8PdzNViaekKsLnMxFYUtyOo2vO4B1Q5FZjibmBGtOUM&idx=1&hy=SH&m=3def3e03d96e06042e69600378db80b8&uzid=7a15c&web=1
乐乐在呼市,	,微信视频号,"#美女老板娘#跨年",视频,--,705,0,2,6,0,2025-12-26 15:52:22,https://finder.video.qq.com/251/20302/stodownload?encfilekey=Cvvj5Ix3eez3Y79SxtvVL0L7CkPM6dFibFeI6caGYwFHAlOs9Zc1SUPLIpqD57HZmFn1MYJ0V02k5b9mbA1icAheJ8TfVUEWLtOEPKoukURE5RqRBIcUuT6Nwmg7hcZg8LhVKgrtHaQ97tBlh2uxpHRg&token=ic1n0xDG6awicvFaCghMV2omTa5JB4RSkW5yNGTSOjQqOjDbrx2WOZBHLcRVLIOqO9JRDHnoiamYj6NZ7sxVrVlvzhG6SAzwIjbCOWgMxkscibTjnlJBbpNjyIuc13Ke0PnEFjiaPfUSsLEzyETPuXvrCaFib79xdKLpXMKTRNqwvMJHc&idx=1&hy=SH&m=f487091c4bb1d271fee56356bd3b6c3f&uzid=7a170&web=1
酥酥在呼市,	,快手,"#我爱自拍 #跨年 #美女老板娘 ",视频,--,1120,0,0,--,132,2025-12-26 15:17:31,https://video.kuaishou.com/short-video/3xnfumtk5b5t9se
酥酥在呼市,	,快手,"#再见2025 #新年氛围   #跨年 #美女老板 ",视频,--,889,1,0,--,69,2025-12-26 15:16:15,https://video.kuaishou.com/short-video/3xnfjip3vcxnfb2
酥酥在呼市,	,快手,"#我爱自拍 #老板 #跨年 #元旦 ",视频,--,509,1,0,--,27,2025-12-26 15:15:26,https://video.kuaishou.com/short-video/3xqwscvagmd2wxs
酥酥在呼市,	,快手,"#美女老板 #走秀 #跨年 ",视频,--,671,1,0,--,30,2025-12-26 15:11:06,https://video.kuaishou.com/short-video/3x88wp93r6u6kv6
用户9913044883337,	,抖音,"#跨年#舞蹈展示 #美女",视频,--,12454,20,154,23,213,2025-12-26 14:49:43,https://www.iesdouyin.com/share/video/7588055222767268582/?region=&mid=7588055180303076147&u_code=4ba3dkj2blm5&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=PtiWod3QXniMBDHtKhk4BZ_lAVOmYCAwc6t_lBzNqG4-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
用户9913044883337,	,抖音,"#跨年#元旦#美女老板娘#帅",视频,--,1316,2,0,5,23,2025-12-26 14:46:27,https://www.iesdouyin.com/share/video/7588054384366563059/?region=&mid=7588054342050007818&u_code=4ba3dkj2blm5&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=7XGJYPQ.q3kQJHfONoxf01DoGe1r.rHqmZslCtdYino-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
用户9913044883337,	,抖音,"#跨年#元旦#美女老板娘",视频,--,1926,1,3,10,49,2025-12-26 14:44:41,https://www.iesdouyin.com/share/video/7588053918920792690/?region=&mid=7588053895922862899&u_code=4ba3dkj2blm5&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=4y1LrKtZuakTdrSeVEPwXYELTKfOyR67UIhpS5JkWpQ-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
小王花炮仓储中心,	,抖音,"#跨年#科普#危险行为请勿模仿",视频,--,11,0,0,0,0,2025-12-25 23:19:00,https://www.iesdouyin.com/share/video/7587784964688435185/?region=&mid=7587784904276986676&u_code=3b8fh14b529h&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=fJVYQOOqLfjfORjWFdyJLlbOC7wSf3Do3PxHIjVLvXY-&share_version=280000&ts=1766996246&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
用户9913044883337,	,抖音,"#圣诞快乐#美女",视频,--,3460,5,39,52,212,2025-12-25 23:11:00,https://www.iesdouyin.com/share/video/7587783158068113073/?region=&mid=7587782884028205887&u_code=4ba3dkj2blm5&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=7nH.CS.a81R31PdQYxId56k1gA77_YDccAnkdZPe16Q-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
新年美好（牧民马舍）,	,抖音,"#圣诞快乐劳伦斯先生 #美女",视频,--,1083,0,0,2,15,2025-12-25 22:29:00,https://www.iesdouyin.com/share/video/7587771656065913314/?region=&mid=7587771628947508014&u_code=80e758lg0ji&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=45M7KTVUXcGyt5bmwCl9uH8m_bc8DxVLJszj96t299Q-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
王泽8397,	,微信视频号,"#跨年#专业场地请勿模仿#科普",视频,--,392,0,0,4,3,2025-12-25 22:25:46,https://finder.video.qq.com/251/20302/stodownload?encfilekey=oibeqyX228riaCwo9STVsGLPj9UYCicgttvXR17noV6tQZkaxBJm3Fan216griaFmerfDGOIEjCYkMLRZp0H4zPHSWNazZH7X9cGLEQR4PUxy7AylldLn9LFhF3Xh4udU159xtTBkEnkiaug&token=2lt8WBSnjTl4wXMTO6gtFQQJdPw5rkv75wmvrZvqdl6CVFIibTN2eUpafCRfokMxeDUUKvA7MNe4pJp2qcdKF24GvZjMjK4EGz3Hnc1Elwxn8PbPeJxVicnbDuIvmQcwfDKA1cOiaghCiclZGQIAoytKoibwXzQdqRsNfbP1x8WNnJz4&idx=1&hy=SH&m=f113da3c0713fdd49763acf382942700&uzid=7a22e&web=1
王泽8397,	,微信视频号,"#跨年#专业场地请勿模仿#科普",视频,--,333,0,0,3,2,2025-12-25 22:25:30,https://finder.video.qq.com/251/20302/stodownload?encfilekey=oibeqyX228riaCwo9STVsGLPj9UYCicgttviaV6P4j7icWVDqvCiaJmGdzfzGWOahlQq895A47IzHXhTWpCjAQPHCGclYvp9IgSEVAwa6WAKunaEiacsoTiaL7xoYTWnPbCx2RZRBFnr8ekDPTY&token=ic1n0xDG6awicvFaCghMV2onLiaicRmzOJQsN0c4icyK7GBUv62lRbxkIAI5NxVs1u048sNFAdufxDw51MdPibc5AQoEJju4WOn0NrPwazGcVL98y6ck0P0vtfmLCzTwlhfT6t6uyWhXibCfhIKKt6IqcPEOPjEZoVUUf0PepIPY8yIxU8&idx=1&hy=SH&m=7985128f318e00dca85fa7fb79571a3d&uzid=7a152&web=1
王泽8397,	,微信视频号,"#跨年#专业场地请勿模仿#科普",视频,--,41494,7,23,39,28,2025-12-25 22:25:12,https://finder.video.qq.com/251/20302/stodownload?encfilekey=oibeqyX228riaCwo9STVsGLPj9UYCicgttvMDFrmR0oyicibyL5MrRIsnahara2xERB5AR1mzDc3BTUa4w5nW23av8X0p8Hc8jTsf2u7zNxNxfccvib9JEHJPx2Dyo4ibicNjqwhiaFxOkaHD2Yk&token=ic1n0xDG6awicvFaCghMV2omib0Wuk6bG0EiadD6EFQxSKvDHsXH0knEJHExHVPqvDdJ0pqRWNOzey1U65OibBCRm2w7iavsNE7rtcTNXibyu6tEKvYeyiba4my3FjHMPCTQJYHFAZ1RNMHZc4fTxyHYr8cnp8HSBhVstclIhicmCxtqFpB0&idx=1&hy=SH&m=70d001d38e3fe61b082da17a26a52238&uzid=7a260&web=1
王泽8397,	,微信视频号,"#跨年#专业场地请勿模仿#科普",视频,--,798,0,0,4,1,2025-12-25 22:24:52,https://finder.video.qq.com/251/20302/stodownload?encfilekey=oibeqyX228riaCwo9STVsGLPj9UYCicgttvb6yKkqeET7hMvEGbYs3ib9QyMFYkMJCfDhhWDFYBLS69YqsGrlyPhga6D6nTz46ww1r3HuNh0zQcXJO1L6dzQhvM8yqMYt3Jkx2ALD6GdkFk&token=ic1n0xDG6awicvFaCghMV2ojjG7ubnQNE2ddV0pzV3o692nPviaE1icBX60CCKa0pPzPt3hrM16m6SgpJDoicqhZGvTDemAoC9BxicxhSNDiamiagCj2pwWQSBvG6B8jAs2yUbrChvkpFJiaVBUXtKg7HqakzNPiauxfoibEKajia5y1szhle5w&idx=1&hy=SH&m=9ec54b55cec3906cceed71769a09a9a5&uzid=7a15c&web=1
王泽8397,	,微信视频号,"#跨年#专业场地请勿模仿#科普",视频,--,398,0,4,5,2,2025-12-25 22:24:23,https://finder.video.qq.com/251/20302/stodownload?encfilekey=Cvvj5Ix3eez3Y79SxtvVL0L7CkPM6dFibFeI6caGYwFFknQgNManRXRwNZT7wShZiaGK5Rd87zmvjvicvVoqNG9icdPbnnarAThEv0CsniaZWZV53Ujly4ib2J5F8ADXS4UR9Nia2ict3ibbuuOapqy0To3TLZw&token=2lt8WBSnjTl4wXMTO6gtFV2BYfcYqFuG78lNoyAVJW6ItOwZzUib2heXZOL6Licxw0deScbfDWT2F2dZb5Hskz0LNR7rGiboZCTY2F4SAccAuGAUibQT9dibPicHiay4KtPsfSOj7K4z8icrXAw9Xes7icB8Rsm4GAS8ZBlrmiatBZic1ic2ChU&idx=1&hy=SH&m=73272708dc7be822a494a620af5fc8ea&uzid=7a170&web=1
春节美好（新赛道）,	,抖音,"#跨年#美女#走秀",视频,--,677,2,1,2,5,2025-12-25 22:19:00,https://www.iesdouyin.com/share/video/7587769083682666984/?region=&mid=7587769092028074790&u_code=37kgh6783db6&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=sli6JfotbzA6hla426xvxghjT26C4jVVGlgiUMhGuGk-&share_version=280000&ts=1766996245&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
小酥在呼市,	,小红书,"跨年 美女老板娘",视频,--,1457,3,0,22,21,2025-12-25 22:01:00,https://www.xiaohongshu.com/explore/694d43ba000000001d03f973?xsec_token=YBgOs5YvnXlPHpgx6l8rseS0FBzihlGbZzM7sugRev_to=&xsec_source=pc_creatormng
小酥在呼市,	,小红书,"圣诞快乐 美女老板娘 跨年",视频,--,1511,1,3,11,50,2025-12-25 21:59:00,https://www.xiaohongshu.com/explore/694d4354000000001e00fc87?xsec_token=YBgOs5YvnXlPHpgx6l8rseS6ce3tHKzmzE7zbCgvnR5AI=&xsec_source=pc_creatormng
小酥在呼市,	,小红书,"跨年 美女老板娘",视频,--,1289,0,0,12,32,2025-12-25 21:58:00,https://www.xiaohongshu.com/explore/694d431a000000001d03f5b9?xsec_token=YBgOs5YvnXlPHpgx6l8rseS_t25G4i0fyto_MSSp518_U=&xsec_source=pc_creatormng
小酥在呼市,	,小红书,"跨年 美女老板娘",视频,--,2076,3,4,36,65,2025-12-25 21:57:00,https://www.xiaohongshu.com/explore/694d42c9000000001e017662?xsec_token=YBgOs5YvnXlPHpgx6l8rseS886WkxWtSbxUXpXO4t4PE8=&xsec_source=pc_creatormng
小酥在呼市,	,小红书,"美女老板娘 跨年",视频,--,1774,1,0,23,58,2025-12-25 21:56:00,https://www.xiaohongshu.com/explore/694d4270000000001e005e5d?xsec_token=YBgOs5YvnXlPHpgx6l8rseS7x15C_q-81XWkp7kJUJnv8=&xsec_source=pc_creatormng
酥酥在呼市,	,快手,"#跨年 #美女老板娘 #圣诞快乐 ",视频,--,2104,5,0,--,143,2025-12-25 21:49:51,https://video.kuaishou.com/short-video/3x9fi6gcjdj9rz2
酥酥在呼市,	,快手,"#跨年 #圣诞快乐 #美女老板 ",视频,--,2210,3,0,--,136,2025-12-25 21:48:51,https://video.kuaishou.com/short-video/3xrtkx7rxtjrgc4
酥酥在呼市,	,快手,"#跨年 #美女老板娘 ",视频,--,2206,2,0,--,163,2025-12-25 21:48:45,https://video.kuaishou.com/short-video/3xyu9q3kj42djvg
酥酥在呼市,	,快手,"#圣诞快乐 #美女老板 #跨年 ",视频,--,5760,5,0,--,999,2025-12-25 21:47:33,https://video.kuaishou.com/short-video/3x5frrhtxdvhsf6
酥酥在呼市,	,快手,"#美女老板 #跨年 #完美身材 ",视频,--,5128,3,0,--,830,2025-12-25 21:46:19,https://video.kuaishou.com/short-video/3xt2vr423fmeks9
过年发发发,	,抖音,"跨年烟花你们都买好了吗？让我看看",动态,--,1215,9,1,0,5,2025-12-25 21:34:18,https://www.iesdouyin.com/share/note/7587788353224101174/?region=&mid=7587306624365103881&u_code=1mhfedl87b58&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=fxKRHokq.JhU270wwhkniLxju6A0TPTouLFTitCe0NY-&share_version=280000&ts=1766996247&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
过年发发发,	,抖音,"还有几天跨年了，加特林100块钱6根贵吗？",动态,--,339,0,0,0,2,2025-12-25 21:33:31,https://www.iesdouyin.com/share/note/7587788071057149190/?region=&mid=7582595155027413823&u_code=1mhfedl87b58&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=M8SZ9BBo2xC3SZ0IH7NjEw9U.U1YsJK.MQlKvMzEEHQ-&share_version=280000&ts=1766996247&from_aid=1128&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
